Year,State,County,Sand,Silt,Clay,OM,BD,longitude,latitude,Yield,total_ppt_01,total_ppt_02,total_ppt_03,total_ppt_04,total_ppt_05,total_ppt_06,total_ppt_07,total_ppt_08,total_ppt_09,total_ppt_10,total_ppt_11,total_ppt_12,annual_ppt,avg_tmin_01,avg_tmin_02,avg_tmin_03,avg_tmin_04,avg_tmin_05,avg_tmin_06,avg_tmin_07,avg_tmin_08,avg_tmin_09,avg_tmin_10,avg_tmin_11,avg_tmin_12,avg_tmean_01,avg_tmean_02,avg_tmean_03,avg_tmean_04,avg_tmean_05,avg_tmean_06,avg_tmean_07,avg_tmean_08,avg_tmean_09,avg_tmean_10,avg_tmean_11,avg_tmean_12,avg_tmax_01,avg_tmax_02,avg_tmax_03,avg_tmax_04,avg_tmax_05,avg_tmax_06,avg_tmax_07,avg_tmax_08,avg_tmax_09,avg_tmax_10,avg_tmax_11,avg_tmax_12
2017,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,6.18,38.35,2.29,33.02,82.55,87.88,30.73,95,64.77,89.66,4.83,7.37,0,536.45,-7.96,-2.64,-0.77,2.48,5.73,12.67,15.63,13.23,10.98,2.47,-0.71,-7.44,-0.98,6.06,9.16,10.17,13.57,21.61,23.9,21,18.49,11.57,8.32,2.02,5.98,14.75,19.09,17.88,21.41,30.55,32.18,28.77,26.01,20.66,17.34,11.47
2016,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,4.94,6.6,5.84,11.43,77.22,20.57,27.69,53.59,76.2,10.41,0.76,2.54,7.87,300.72,-8.13,-5.15,-3.66,1.16,5.72,13.42,15.22,13.51,10.7,4.32,-0.81,-10.03,0.16,3.94,6.22,9.51,13.67,22.38,24.65,21.54,19.58,14.65,8.28,-0.79,8.47,13.04,16.11,17.87,21.64,31.36,34.08,29.58,28.48,24.99,17.38,8.45
2013,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,3.33,1.02,8.89,8.38,17.53,8.64,9.14,54.1,57.66,52.83,6.86,17.02,0.76,242.83,-10.2,-7.94,-4.79,-1.37,6.61,13.26,15.25,15.42,12.68,1.77,-3.14,-8.87,-0.87,0.34,4.53,7.44,15.19,22.73,23.53,23.33,20.32,10.85,4.93,-0.23,8.48,8.63,13.86,16.27,23.77,32.21,31.81,31.25,27.95,19.94,13,8.4
2012,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,3.33,0.51,3.81,5.59,31.5,27.94,4.83,24.64,16,23.11,6.6,0.51,0.76,145.8,-5.74,-6.45,-0.84,3.89,7.08,15.21,16.64,14.45,9.31,0.78,-3.62,-7.88,2.68,1.04,8.74,12.63,16.15,24.12,25.48,23.46,18.36,10.66,7.11,0.64,11.11,8.53,18.31,21.37,25.21,33.01,34.33,32.46,27.41,20.53,17.83,9.17
2010,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,4.2,6.1,13.97,56.39,16.51,16.26,12.45,45.47,60.96,14.99,7.11,5.08,4.57,259.86,-8.28,-7.71,-2.71,2.32,5.73,13.64,16.11,14.71,10.24,3.28,-4.81,-6.04,0.5,-1.32,4.61,10.69,14.21,22.27,23.94,23.12,20.42,12.85,4.77,2.62,9.27,5.06,11.93,19.06,22.69,30.9,31.78,31.53,30.61,22.42,14.36,11.27
2009,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,6.42,1.02,7.11,17.53,14.73,22.61,46.23,92.71,29.21,30.73,69.34,3.05,3.56,337.83,-7.32,-5.54,-2.96,1.04,8.37,11.42,14.55,13.06,8.48,-0.39,-2.31,-10.31,1.68,4.04,6.34,9.27,16.3,19.67,23.08,21.89,16.9,7.73,6.32,-3.2,10.67,13.63,15.63,17.51,24.22,27.93,31.62,30.72,25.33,15.85,14.95,3.91
2008,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,5.06,6.6,5.33,21.84,11.94,20.57,17.27,27.18,99.57,9.91,82.55,3.81,9.65,316.22,-10.45,-7.29,-3.53,-0.82,5.02,11.43,15.5,14.51,9.02,3.17,-2.06,-7.3,-2.03,1.11,4.88,8.59,14.25,20.93,24.14,22.07,17.41,12.03,6.73,0.36,6.39,9.51,13.31,18,23.47,30.42,32.78,29.63,25.78,20.88,15.52,8
2007,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,5.93,8.13,7.87,3.56,50.8,29.97,82.3,53.85,46.48,28.19,12.19,0,21.59,344.93,-13.17,-7.34,-0.68,0.52,7.36,11.07,15.04,15.58,10.6,3.12,-3.73,-9.18,-6.2,-0.44,8.14,8.51,15.04,19.63,23.41,24.36,19.42,12.94,6.23,-1.45,0.77,6.46,16.99,16.49,22.75,28.22,31.79,33.14,28.24,22.75,16.2,6.29
2006,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,5.43,13.72,0.51,17.78,15.24,20.57,52.58,71.88,73.66,66.29,36.58,5.84,92.46,467.11,-7.52,-9.8,-3.76,2.37,7.59,13.9,16.09,14.41,6.44,2.76,-2.39,-7.42,2.03,0.68,5.33,12.2,16.71,22.6,24.11,21.74,15.11,11.02,6.61,-0.3,11.59,11.17,14.41,22.03,25.83,31.29,32.14,29.08,23.77,19.29,15.61,6.82
2005,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,5.68,53.09,1.52,47.5,75.18,55.88,35.31,25.65,17.53,24.89,23.37,8.38,0,368.3,-5.87,-4.81,-3.52,1.01,6.77,11.35,15.09,13.48,10.93,3.64,-2.47,-9.21,1.7,2.39,4.43,8.92,14.89,20.28,24.41,21.94,19.89,12.28,6.7,-0.02,9.27,9.59,12.37,16.83,23.01,29.21,33.72,30.41,28.86,20.92,15.87,9.16
2004,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,4.08,4.32,23.11,6.35,118.87,6.35,40.39,90.68,23.62,16.26,10.41,56.39,8.38,405.13,-8.22,-7.69,-0.54,2.24,7.78,10.84,13.73,12.36,9.46,2.54,-3.27,-7.89,0.46,-0.08,8.48,9.36,16.69,19.64,21.79,20.71,18.47,11.63,3.52,1.06,9.12,7.51,17.51,16.47,25.61,28.44,29.84,29.06,27.46,20.71,10.31,10.01
2003,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,5.06,6.86,11.94,41.4,26.42,20.57,65.53,16,46.48,35.81,0,4.32,10.92,286.25,-5.38,-7.89,-1.58,2.66,7.33,11.08,17.25,15.26,8.08,4.38,-4.85,-7.48,2.71,-0.64,6.01,11.13,16.29,18.83,26.35,23.9,16.97,13.88,4.11,1.62,10.81,6.59,13.59,19.6,25.24,26.59,35.46,32.54,25.86,23.39,13.07,10.72
2002,COLORADO,LAS ANIMAS,29.95834668,38.23165362,26.63076441,0.764550398,1.472675838,-104.0390394,37.31658978,4.2,13.72,5.59,2.54,3.56,1.52,22.1,32,54.36,45.97,14.22,5.84,17.78,219.2,-9.2,-8.16,-6.39,2.16,6.56,15.36,16.51,14.77,11.04,1.24,-3.8,-7.54,-0.92,0.72,3.44,11.96,15.9,23.67,24.84,23.02,18.73,9.45,4.28,-0.06,7.36,9.61,13.26,21.75,25.24,31.98,33.18,31.28,26.42,17.66,12.36,7.44
